# Source: https://en.wikipedia.org/wiki/List_of_birds_of_Europe (fetched 2026-09-13)
# scientific	english (Wikipedia)	status tags
Dendrocygna bicolor	Fulvous whistling duck	A-Azores
Oxyura leucocephala	White-headed duck	
Oxyura jamaicensis	Ruddy duck	I
Cygnus olor	Mute swan	
Cygnus atratus	Black swan	I
Cygnus columbianus	Tundra swan	
Cygnus cygnus	Whooper swan	
Branta bernicla	Brant goose	
Branta ruficollis	Red-breasted goose	
Branta canadensis	Canada goose	I, A
Branta leucopsis	Barnacle goose	
Branta hutchinsii	Cackling goose	A
Anser indicus	Bar-headed goose	I, A
Anser rossii	Ross's goose	A
Anser caerulescens	Snow goose	I, A
Anser anser	Greylag goose	
Anser erythropus	Lesser white-fronted goose	
Anser albifrons	Greater white-fronted goose	
Anser serrirostris	Tundra bean goose	
Anser brachyrhynchus	Pink-footed goose	
Anser fabalis	Taiga bean goose	
Alopochen aegyptiaca	Egyptian goose	I
Cairina moschata	Muscovy duck	I-Canary Islands
Aix galericulata	Mandarin duck	I
Aix sponsa	Wood duck	I, A
Tadorna tadorna	Common shelduck	
Tadorna ferruginea	Ruddy shelduck	
Clangula hyemalis	Long-tailed duck	
Polysticta stelleri	Steller's eider	
Somateria fischeri	Spectacled eider	A
Somateria spectabilis	King eider	
Somateria mollissima	Common eider	
Histrionicus histrionicus	Harlequin duck	
Melanitta nigra	Common scoter	
Melanitta americana	Black scoter	A
Melanitta perspicillata	Surf scoter	A
Melanitta fusca	Velvet scoter	
Melanitta deglandi	White-winged scoter	A
Melanitta stejnegeri	Stejneger's scoter	A
Bucephala albeola	Bufflehead	A
Bucephala islandica	Barrow's goldeneye	
Bucephala clangula	Common goldeneye	
Mergellus albellus	Smew	
Lophodytes cucullatus	Hooded merganser	A
Mergus serrator	Red-breasted merganser	
Mergus merganser	Common merganser	
Marmaronetta angustirostris	Marbled duck	
Netta rufina	Red-crested pochard	
Aythya nyroca	Ferruginous duck	
Aythya ferina	Common pochard	
Aythya valisineria	Canvasback	A
Aythya americana	Redhead	A
Aythya collaris	Ring-necked duck	A
Aythya fuligula	Tufted duck	
Aythya affinis	Lesser scaup	A
Aythya marila	Greater scaup	
Sibirionetta formosa	Baikal teal	A
Spatula querquedula	Garganey	
Spatula discors	Blue-winged teal	A
Spatula cyanoptera	Cinnamon teal	A
Spatula clypeata	Northern shoveler	
Mareca falcata	Falcated duck	A
Mareca strepera	Gadwall	
Mareca penelope	Eurasian wigeon	
Mareca americana	American wigeon	A
Anas platyrhynchos	Mallard	
Anas rubripes	American black duck	A
Anas acuta	Northern pintail	
Anas crecca	Green-winged teal	
Numida meleagris	Helmeted guineafowl	I
Colinus virginianus	Northern bobwhite	I
Callipepla californica	California quail	I
Tetrastes bonasia	Hazel grouse	
Lagopus muta	Rock ptarmigan	
Lagopus scotica	Red grouse	
Lagopus lagopus	Willow ptarmigan	
Tetrao urogallus	Western capercaillie	
Lyrurus mlokosiewiczi	Caucasian grouse	E-Caucasus
Lyrurus tetrix	Black grouse	
Perdix perdix	Grey partridge	
Syrmaticus reevesii	Reeves's pheasant	I
Chrysolophus pictus	Golden pheasant	I
Chrysolophus amherstiae	Lady Amherst's pheasant	I
Phasianus colchicus	Common pheasant	I
Francolinus francolinus	Black francolin	Ex, formerly possibly I<ref>{{cite journal |last1=Forcina |first1=Giovanni |last2=Guerrini |first2=Monica |last3=van Grouw |first3=Hein |last4=Gupta |first4=Brij K. |last5=Panayides |first5=Panicos |last6=Hadjigerou |first6=Pantelis |last7=Al-Sheikhly |first7=Omar F. |last8=Awan |first8=Muhammad N. |last9=Khan |first9=Aleem A. |last10=Zeder |first10=Melinda A. |last11=Barbanera |first11=Filippo |title=Impacts of biological globalization in the Mediterranean: Unveiling the deep history of human-mediated gamebird dispersal |journal=Proceedings of the National Academy of Sciences |date=17 March 2015 |volume=112 |issue=11 |pages=3296–3301 |doi=10.1073/pnas.1500677112|doi-access=free |pmc=4371972}}</ref>
Tetraogallus caucasicus	Caucasian snowcock	E-Caucasus
Coturnix coturnix	Common quail	
Alectoris barbara	Barbary partridge	
Alectoris rufa	Red-legged partridge	E
Alectoris chukar	Chukar partridge	
Alectoris graeca	Rock partridge	E
Pternistis erckelii	Erckel's spurfowl	I
Phoenicopterus minor	Lesser flamingo	A
Phoenicopterus roseus	Greater flamingo	
Tachybaptus ruficollis	Little grebe	
Podilymbus podiceps	Pied-billed grebe	A
Podiceps auritus	Horned grebe	
Podiceps grisegena	Red-necked grebe	
Podiceps cristatus	Great crested grebe	
Podiceps nigricollis	Black-necked grebe	
Otis tarda	Great bustard	
Chlamydotis macqueenii	Asian houbara	A
Chlamydotis undulata	African houbara	Canary Islands
Tetrax tetrax	Little bustard	
Clamator glandarius	Great spotted cuckoo	
Coccyzus americanus	Yellow-billed cuckoo	A
Coccyzus erythropthalmus	Black-billed cuckoo	A
Cuculus canorus	Common cuckoo	
Cuculus optatus	Oriental cuckoo	A
Syrrhaptes paradoxus	Pallas's sandgrouse	A
Pterocles alchata	Pin-tailed sandgrouse	
Pterocles exustus	Chestnut-bellied sandgrouse	A
Pterocles senegallus	Spotted sandgrouse	A
Pterocles orientalis	Black-bellied sandgrouse	
Zenaida macroura	Mourning dove	A
Spilopelia senegalensis	Laughing dove	
